layer,st_code,st_name,n_features
pre2008/assembly,S01,Andhra Pradesh,294
pre2008/assembly,S02,Arunachal Pradesh,60
pre2008/assembly,S03,Assam,126
pre2008/assembly,S04,Bihar,243
pre2008/assembly,S05,Goa,40
pre2008/assembly,S06,Gujarat,182
pre2008/assembly,S07,Haryana,90
pre2008/assembly,S08,Himachal Pradesh,68
pre2008/assembly,S09,Jammu & Kashmir,76
pre2008/assembly,S10,Karnataka,224
pre2008/assembly,S11,Kerala,140
pre2008/assembly,S12,Madhya Pradesh,230
pre2008/assembly,S13,Maharashtra,288
pre2008/assembly,S14,Manipur,60
pre2008/assembly,S15,Meghalaya,60
pre2008/assembly,S16,Mizoram,40
pre2008/assembly,S17,Nagaland,60
pre2008/assembly,S18,Odisha,147
pre2008/assembly,S19,Punjab,117
pre2008/assembly,S20,Rajasthan,200
pre2008/assembly,S21,Sikkim,32
pre2008/assembly,S22,Tamil Nadu,234
pre2008/assembly,S23,Tripura,60
pre2008/assembly,S24,Uttar Pradesh,403
pre2008/assembly,S25,West Bengal,294
pre2008/assembly,S26,Chhattisgarh,90
pre2008/assembly,S27,Jharkhand,81
pre2008/assembly,S28,Uttarakhand,70
pre2008/assembly,U05,Delhi,70
pre2008/assembly,U07,Puducherry,30
pre2008/parliamentary,S01,Andhra Pradesh,42
pre2008/parliamentary,S02,Arunachal Pradesh,2
pre2008/parliamentary,S03,Assam,14
pre2008/parliamentary,S04,Bihar,40
pre2008/parliamentary,S05,Goa,2
pre2008/parliamentary,S06,Gujarat,26
pre2008/parliamentary,S07,Haryana,10
pre2008/parliamentary,S08,Himachal Pradesh,4
pre2008/parliamentary,S09,Jammu & Kashmir,6
pre2008/parliamentary,S10,Karnataka,28
pre2008/parliamentary,S11,Kerala,20
pre2008/parliamentary,S12,Madhya Pradesh,29
pre2008/parliamentary,S13,Maharashtra,48
pre2008/parliamentary,S14,Manipur,2
pre2008/parliamentary,S15,Meghalaya,2
pre2008/parliamentary,S16,Mizoram,1
pre2008/parliamentary,S17,Nagaland,1
pre2008/parliamentary,S18,Odisha,21
pre2008/parliamentary,S19,Punjab,13
pre2008/parliamentary,S20,Rajasthan,25
pre2008/parliamentary,S21,Sikkim,1
pre2008/parliamentary,S22,Tamil Nadu,39
pre2008/parliamentary,S23,Tripura,2
pre2008/parliamentary,S24,Uttar Pradesh,80
pre2008/parliamentary,S25,West Bengal,42
pre2008/parliamentary,S26,Chhattisgarh,11
pre2008/parliamentary,S27,Jharkhand,14
pre2008/parliamentary,S28,Uttarakhand,5
pre2008/parliamentary,U01,Andaman & Nicobar Islands,1
pre2008/parliamentary,U02,Chandigarh,1
pre2008/parliamentary,U03,Dadra & Nagar Haveli,1
pre2008/parliamentary,U04,Daman & Diu,1
pre2008/parliamentary,U05,Delhi,7
pre2008/parliamentary,U06,Lakshadweep,1
pre2008/parliamentary,U07,Puducherry,1
post2008/assembly,S01,Andhra Pradesh,294
post2008/assembly,S02,Arunachal Pradesh,60
post2008/assembly,S03,Assam,126
post2008/assembly,S04,Bihar,243
post2008/assembly,S05,Goa,40
post2008/assembly,S06,Gujarat,181
post2008/assembly,S07,Haryana,90
post2008/assembly,S08,Himachal Pradesh,68
post2008/assembly,S09,Jammu & Kashmir,87
post2008/assembly,S10,Karnataka,224
post2008/assembly,S11,Kerala,140
post2008/assembly,S12,Madhya Pradesh,230
post2008/assembly,S13,Maharashtra,288
post2008/assembly,S14,Manipur,60
post2008/assembly,S15,Meghalaya,60
post2008/assembly,S16,Mizoram,40
post2008/assembly,S17,Nagaland,60
post2008/assembly,S18,Odisha,147
post2008/assembly,S19,Punjab,117
post2008/assembly,S20,Rajasthan,200
post2008/assembly,S21,Sikkim,32
post2008/assembly,S22,Tamil Nadu,234
post2008/assembly,S23,Tripura,60
post2008/assembly,S24,Uttar Pradesh,403
post2008/assembly,S25,West Bengal,294
post2008/assembly,S26,Chhattisgarh,90
post2008/assembly,S27,Jharkhand,81
post2008/assembly,S28,Uttarakhand,70
post2008/assembly,U05,Delhi,70
post2008/assembly,U07,Puducherry,30
post2008/parliamentary,S01,Andhra Pradesh,25
post2008/parliamentary,S02,Arunachal Pradesh,2
post2008/parliamentary,S03,Assam,14
post2008/parliamentary,S04,Bihar,40
post2008/parliamentary,S05,Goa,2
post2008/parliamentary,S06,Gujarat,26
post2008/parliamentary,S07,Haryana,10
post2008/parliamentary,S08,Himachal Pradesh,4
post2008/parliamentary,S09,Jammu & Kashmir,6
post2008/parliamentary,S10,Karnataka,28
post2008/parliamentary,S11,Kerala,20
post2008/parliamentary,S12,Madhya Pradesh,29
post2008/parliamentary,S13,Maharashtra,48
post2008/parliamentary,S14,Manipur,2
post2008/parliamentary,S15,Meghalaya,2
post2008/parliamentary,S16,Mizoram,1
post2008/parliamentary,S17,Nagaland,1
post2008/parliamentary,S18,Odisha,21
post2008/parliamentary,S19,Punjab,13
post2008/parliamentary,S20,Rajasthan,25
post2008/parliamentary,S21,Sikkim,1
post2008/parliamentary,S22,Tamil Nadu,39
post2008/parliamentary,S23,Tripura,2
post2008/parliamentary,S24,Uttar Pradesh,80
post2008/parliamentary,S25,West Bengal,42
post2008/parliamentary,S26,Chhattisgarh,11
post2008/parliamentary,S27,Jharkhand,14
post2008/parliamentary,S28,Uttarakhand,5
post2008/parliamentary,S29,Telangana,17
post2008/parliamentary,U01,Andaman & Nicobar Islands,1
post2008/parliamentary,U02,Chandigarh,1
post2008/parliamentary,U03,Dadra & Nagar Haveli,1
post2008/parliamentary,U04,Daman & Diu,1
post2008/parliamentary,U05,Delhi,7
post2008/parliamentary,U06,Lakshadweep,1
post2008/parliamentary,U07,Puducherry,1
